nWT,nKO,nPresWT,nDivWT,nPresKO,nDivKO,percentTotalDivergence,percentTotalPreservation,k_WT_NS,k_WT_Di,k_WT_Pr,k_WT_NC,k_KO_NS,k_KO_Di,k_KO_Pr,k_KO_NC
14,14,1750,0,1421,310,0.0531185743660041,0.543351610692255,0,0,14,1,0,2,15,1
13,13,1666,0,1625,144,0.0246744345442084,0.563913639479095,0,0,13,1,0,2,17,1
14,14,1633,0,1660,0,0,0.564256339958876,0,0,14,1,0,0,18,1
13,13,1654,0,1543,170,0.0291295407813571,0.547806716929404,0,0,13,1,0,4,17,1
14,14,1551,36,1489,211,0.042323509252913,0.520904729266621,0,1,13,1,0,3,18,1
15,15,1650,0,1685,0,0,0.57145305003427,0,0,15,1,0,0,20,1
16,16,1691,0,1570,83,0.0142220699108979,0.558773132282385,0,0,16,1,0,1,21,1
17,17,1620,0,1501,178,0.0305003427004798,0.534784098697738,0,0,17,1,0,4,19,1
15,15,1561,0,1568,85,0.0145647703906785,0.536154900616861,0,0,15,1,0,2,21,1
15,15,1547,0,1572,129,0.0221041809458533,0.534441398217958,0,0,15,1,0,3,24,1
18,18,1538,40,1523,93,0.0227895819054147,0.524503084304318,0,1,17,1,0,3,20,1
15,15,1533,0,1518,102,0.0174777244688143,0.522789581905415,0,0,15,1,0,2,23,1
18,18,1456,92,1525,18,0.0188485263879369,0.510795065113091,0,2,16,1,0,1,23,1
18,18,1538,0,1333,265,0.045407813570939,0.491946538725154,0,0,18,1,0,3,25,1
18,18,1479,34,1555,48,0.0140507196710075,0.519876627827279,0,1,17,1,0,2,28,1
22,22,1512,30,1489,23,0.0090815627141878,0.514222069910898,0,1,21,1,0,1,27,1
20,20,1466,16,1379,126,0.0243317340644277,0.487491432488006,0,1,19,1,0,4,24,1
20,20,1377,57,1300,177,0.0400959561343386,0.458704592186429,0,1,19,1,0,5,23,1
24,24,1421,109,1356,61,0.0291295407813571,0.475839616175463,0,3,21,1,0,2,26,1
21,21,1367,25,1388,96,0.0207333790267306,0.472069910897875,0,1,20,1,0,4,27,1
22,22,1370,51,1283,163,0.0366689513365319,0.454592186429061,0,2,20,1,0,5,24,1
21,21,1346,63,1388,37,0.0171350239890336,0.468471555860178,0,2,19,1,0,2,31,1
21,21,1316,43,1412,21,0.0109664153529815,0.467443454420836,0,1,20,1,0,1,32,1
22,22,1322,47,1318,80,0.0217614804660727,0.452364633310487,0,2,20,1,0,3,30,1
24,24,1321,46,1306,87,0.0227895819054147,0.450137080191912,0,2,22,1,0,3,34,1
26,26,1310,44,1245,55,0.0169636737491433,0.437799862919808,0,2,24,1,0,2,27,1
24,24,1300,21,1242,46,0.0114804660726525,0.435572309801234,0,1,23,1,0,1,31,1
25,25,1260,57,1223,79,0.0233036326250857,0.425462645647704,0,2,23,1,0,4,31,1
26,26,1287,19,1173,91,0.0188485263879369,0.421521590130226,0,1,25,1,0,4,30,1
