Protein FDR Confidence: Mascot,Master,Accession,Description,# Unique Peptides,# PSMs,# Razor Peptides,"Abundance: F1: 126, Sample, QC, 36478, Syngap1","Abundance: F1: 129N, Sample, QC, 36479, Syngap1","Abundance: F1: 131C, Sample, QC, 36480, Syngap1","Abundance: F2: 126, Sample, QC, 38823, Ube3a","Abundance: F2: 129N, Sample, QC, 38824, Ube3a","Abundance: F2: 131C, Sample, QC, 38825, Ube3a","Abundance: F3: 126, Sample, QC, 38820, Shank2","Abundance: F3: 129N, Sample, QC, 38821, Shank2","Abundance: F3: 131C, Sample, QC, 38822, Shank2","Abundance: F4: 126, Sample, QC, 41349, Shank3","Abundance: F4: 129N, Sample, QC, 41350, Shank3","Abundance: F4: 131C, Sample, QC, 41351, Shank3","Abundance: F1: 127N, Sample, WT, 36471, Syngap1","Abundance: F1: 128N, Sample, WT, 36472, Syngap1","Abundance: F1: 129C, Sample, WT, 36474, Syngap1","Abundance: F1: 130C, Sample, WT, 36477, Syngap1","Abundance: F2: 127N, Sample, WT, 38812, Ube3a","Abundance: F2: 128N, Sample, WT, 38813, Ube3a","Abundance: F2: 129C, Sample, WT, 38816, Ube3a","Abundance: F2: 130C, Sample, WT, 38817, Ube3a","Abundance: F3: 127N, Sample, WT, 38804, Shank2","Abundance: F3: 128N, Sample, WT, 38805, Shank2","Abundance: F3: 129C, Sample, WT, 38806, Shank2","Abundance: F3: 130C, Sample, WT, 38810, Shank2","Abundance: F4: 127N, Sample, WT, 41333, Shank3","Abundance: F4: 128N, Sample, WT, 41334, Shank3","Abundance: F4: 129C, Sample, WT, 41339, Shank3","Abundance: F4: 130C, Sample, WT, 41340, Shank3","Abundance: F1: 127C, Sample, HET, 36470, Syngap1","Abundance: F1: 128C, Sample, HET, 36473, Syngap1","Abundance: F1: 130N, Sample, HET, 36475, Syngap1","Abundance: F1: 131N, Sample, HET, 36476, Syngap1","Abundance: F2: 127C, Sample, KO, 38814, Ube3a","Abundance: F2: 128C, Sample, KO, 38815, Ube3a","Abundance: F2: 130N, Sample, KO, 38818, Ube3a","Abundance: F2: 131N, Sample, KO, 38819, Ube3a","Abundance: F3: 127C, Sample, KO, 38807, Shank2","Abundance: F3: 128C, Sample, KO, 38808, Shank2","Abundance: F3: 130N, Sample, KO, 38809, Shank2","Abundance: F3: 131N, Sample, KO, 38811, Shank2","Abundance: F4: 127C, Sample, KO, 41335, Shank3","Abundance: F4: 128C, Sample, KO, 41336, Shank3","Abundance: F4: 130N, Sample, KO, 41337, Shank3","Abundance: F4: 131N, Sample, KO, 41338, Shank3","Abundances (Normalized): F1: 126, Sample, QC, 36478, Syngap1","Abundances (Normalized): F1: 129N, Sample, QC, 36479, Syngap1","Abundances (Normalized): F1: 131C, Sample, QC, 36480, Syngap1","Abundances (Normalized): F2: 126, Sample, QC, 38823, Ube3a","Abundances (Normalized): F2: 129N, Sample, QC, 38824, Ube3a","Abundances (Normalized): F2: 131C, Sample, QC, 38825, Ube3a","Abundances (Normalized): F3: 126, Sample, QC, 38820, Shank2","Abundances (Normalized): F3: 129N, Sample, QC, 38821, Shank2","Abundances (Normalized): F3: 131C, Sample, QC, 38822, Shank2","Abundances (Normalized): F4: 126, Sample, QC, 41349, Shank3","Abundances (Normalized): F4: 129N, Sample, QC, 41350, Shank3","Abundances (Normalized): F4: 131C, Sample, QC, 41351, Shank3","Abundances (Normalized): F1: 127N, Sample, WT, 36471, Syngap1","Abundances (Normalized): F1: 128N, Sample, WT, 36472, Syngap1","Abundances (Normalized): F1: 129C, Sample, WT, 36474, Syngap1","Abundances (Normalized): F1: 130C, Sample, WT, 36477, Syngap1","Abundances (Normalized): F2: 127N, Sample, WT, 38812, Ube3a","Abundances (Normalized): F2: 128N, Sample, WT, 38813, Ube3a","Abundances (Normalized): F2: 129C, Sample, WT, 38816, Ube3a","Abundances (Normalized): F2: 130C, Sample, WT, 38817, Ube3a","Abundances (Normalized): F3: 127N, Sample, WT, 38804, Shank2","Abundances (Normalized): F3: 128N, Sample, WT, 38805, Shank2","Abundances (Normalized): F3: 129C, Sample, WT, 38806, Shank2","Abundances (Normalized): F3: 130C, Sample, WT, 38810, Shank2","Abundances (Normalized): F4: 127N, Sample, WT, 41333, Shank3","Abundances (Normalized): F4: 128N, Sample, WT, 41334, Shank3","Abundances (Normalized): F4: 129C, Sample, WT, 41339, Shank3","Abundances (Normalized): F4: 130C, Sample, WT, 41340, Shank3","Abundances (Normalized): F1: 127C, Sample, HET, 36470, Syngap1","Abundances (Normalized): F1: 128C, Sample, HET, 36473, Syngap1","Abundances (Normalized): F1: 130N, Sample, HET, 36475, Syngap1","Abundances (Normalized): F1: 131N, Sample, HET, 36476, Syngap1","Abundances (Normalized): F2: 127C, Sample, KO, 38814, Ube3a","Abundances (Normalized): F2: 128C, Sample, KO, 38815, Ube3a","Abundances (Normalized): F2: 130N, Sample, KO, 38818, Ube3a","Abundances (Normalized): F2: 131N, Sample, KO, 38819, Ube3a","Abundances (Normalized): F3: 127C, Sample, KO, 38807, Shank2","Abundances (Normalized): F3: 128C, Sample, KO, 38808, Shank2","Abundances (Normalized): F3: 130N, Sample, KO, 38809, Shank2","Abundances (Normalized): F3: 131N, Sample, KO, 38811, Shank2","Abundances (Normalized): F4: 127C, Sample, KO, 41335, Shank3","Abundances (Normalized): F4: 128C, Sample, KO, 41336, Shank3","Abundances (Normalized): F4: 130N, Sample, KO, 41337, Shank3","Abundances (Normalized): F4: 131N, Sample, KO, 41338, Shank3"
High,Master Protein,Q6P8X1,Sorting nexin-6 OS=Mus musculus OX=10090 GN=Snx6 PE=1 SV=2,16,47,0,1187207.794,1080205.461,1210239.697,1355477.326,1603509.646,1033390.186,1188937.245,1097531.411,1223930.993,657292.4786,1034600.069,882307.8354,616048.883,886940.0391,725124.8751,882182.4449,1376552.831,1364470.449,1445475.781,1479695.242,1131199.462,1645859.01,1536659.274,1255217.648,1042323.864,781611.8897,867456.6455,1194892.998,905401.934,981195.8723,663221.7602,610351.3138,1237946.059,1092213.28,1429812.946,1623727.413,1085121.125,1291821.937,1323366.51,1257741.202,729655.4326,744918.2583,714904.5263,750840.8555,1226907.101,1080205.461,1232706.997,2199293.176,1937855.738,2269555.253,2145554.545,2135369.389,2284870.702,1363737.13,1419579.367,1428857.564,1289591.223,1192415.12,1302420.006,1308137.635,2557088.12,2451533.222,2346307.211,2409902.55,2340736.375,2433728.185,2382313.754,2294699.361,1621995.03,1805115.39,1593371.984,1504277.898,1193225.517,1403071.375,1439017.202,1244621.573,2335593.842,2442456.578,2564261.006,2650625.663,2296759.683,2327426.251,2326213.352,2311321.426,1724900.057,1564810.581,1625407.712,1601364.455
High,Master Protein,O88448,Kinesin light chain 2 OS=Mus musculus OX=10090 GN=Klc2 PE=1 SV=1,16,59,0,2736700.707,2730102.908,2623948.892,1604883.694,1666368.447,1157948.511,1628628.871,1622030.799,1738814.97,1633183.787,2489370.576,2007101.953,1321065.749,2162083.855,1688007.282,2303860.394,1648437.939,1715729.083,1684511.073,1755049.526,1573349.165,2253166.974,2266814.131,1888366.302,2137585.163,1734801.702,1937104.845,2606082.002,2190897.524,2165222.736,1467650.464,1637632.351,1459585.214,1289257.288,1673939.571,1911179.769,1563576.063,1864814.254,1812071.42,1736461.144,1557554.608,1594629.483,1444620.166,1494386.05,2828213.853,2730102.908,2672660.768,2603960.752,2013821.16,2543113.105,2939021.46,3155841.266,3246071.391,3388496.662,3415676.464,3250410.676,2765421.451,2906737.058,3031883.928,3416262.141,3062142.604,3082636.821,2734311.103,2858357.727,3255655.385,3331753.169,3514287.503,3452176.563,3326367.774,4006486.2,3558135.851,3280855.745,2887374.913,3096183.062,3184416.421,3339441.576,2753753.456,2883095.272,3002083.58,3119872.278,3309454.013,3359764.626,3185258.732,3191053.804,3682047.595,3349754.231,3284489.989,3187169.005
High,Master Protein,P24270,Catalase OS=Mus musculus OX=10090 GN=Cat PE=1 SV=4,16,36,0,1226907.007,1292370.472,1250859.256,742843.0594,1024134.429,563014.8922,788196.3965,795810.2388,762408.5901,686562.1384,1006360.621,856986.2144,626634.7596,864507.6578,659182.1079,899529.9858,753685.3313,860398.5187,783578.3571,906313.6335,874075.0759,1064334.096,1195042.852,854485.8469,876105.4808,569299.8403,767171.0794,1041403.551,934979.3912,1111116.038,560314.0623,658617.9394,699169.2612,699617.2553,789935.7246,866713.0178,828827.0608,987854.9574,1061642.372,845256.7844,584925.9272,671005.1137,647426.7067,783044.2753,1267933.825,1292370.472,1274080.631,1205279.97,1237675.61,1236506.233,1422378.152,1548337.302,1423286.983,1424465.227,1380831.893,1387850.346,1311750.915,1162256.7,1183978.09,1333861.307,1400047.832,1545871.187,1271910.311,1476065.797,1808681.309,1573828.543,1852698.95,1562110.069,1363337.044,1314785.403,1409164.263,1311046.553,1232205.527,1588852.084,1215734.499,1343046.336,1319100.626,1564515.648,1416689.772,1414850.639,1754289.482,1779780.551,1866154.721,1553308.513,1382760.574,1409545.128,1471990.068,1670046.668
High,Master Protein,Q99PJ0,Neurotrimin OS=Mus musculus OX=10090 GN=Ntm PE=1 SV=2,16,184,0,28329984.13,32040448.37,30226401.09,36180385.18,42559165.55,25127050.87,34592642.55,32512721.65,34318414.48,16597031.64,24762877.42,22399636.44,11387001.56,19655124.01,13947254.22,19564686.76,32612042.56,36143646.53,37468644.28,39202996.5,39428120.48,46282708.31,46014874.98,38536572.16,26739417.9,18060350.72,21973388.88,24986813.11,17855132.47,18403196.6,11305488.67,14423460.57,37920841.12,27339580.48,37952594.61,36238524.8,37517367.1,42299044.99,54833453.22,46662765.67,16542274.98,19530964.6,18255175.77,22238166.62,29277316.8,32040448.37,30787534.24,58703508.11,51433131.91,55184606.03,62425836,63257114.89,64066634.67,34435185.29,33977254.49,36275196.34,23836707.9,26424635.29,25051109.89,29011349.33,60580215.1,64939002.76,60819386.55,63847877.96,81586704.08,68438141.45,71337785.44,70449812.14,41610102.62,41709980.94,40361420.25,31456465.79,23531206.27,26315844.86,24529944.06,29412159.48,71544056.66,61138002.45,68065098.11,59156951.52,79408993.3,76208573.99,96386231.68,85751066.98,39105815.94,41027669.44,41504987.58,47428705.17
High,Master Protein,Q9D1T0,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1 OS=Mus musculus OX=10090 GN=Lingo1 PE=1 SV=1,16,65,1,6137330.408,6649429.881,6406025.029,3819491.433,4928200.544,2854091.393,4320377.454,4261705.539,4291095.486,3700656.391,5968664.23,4882760.142,3327013.504,4838316.942,3664146.779,4883368.757,4174390.724,4472475.186,5431283.953,4898801.126,4878061.648,6436617.931,5781118.767,5216328.923,6125353.612,4220014.889,5055060.237,6533938.78,4512264.277,4336860.986,3008098.523,3691249.251,4743095.915,3530602.682,4468774.718,4874459.224,4492770.031,5565298.24,5875181.31,5499084.055,4397120.835,4820160.655,4291855.567,4862004.93,6342557.972,6649429.881,6524948.648,6197212.805,5955774.4,6268221.047,7796547.314,8291621.963,8010744.406,7678046.969,8189630.796,7907408.824,6964524.297,6504703.839,6581291.353,7241266.809,7754359.069,8035660.657,8816101.157,7978422.171,10093937.2,9517813.119,8962584.608,9536120.422,9531867.645,9746031.145,9285295.582,8225723.737,5946694.69,6201540.058,6526784.525,7527154.193,8948649.686,7895292.89,8014408.308,7957226.449,9509365.203,10026785.31,10327392.38,10105537.43,10394761.2,10125457.81,9757967.506,10369496.84
High,Master Protein,O88703,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 OS=Mus musculus OX=10090 GN=Hcn2 PE=1 SV=1,16,62,9,2862886.897,3170951.983,3010759.463,757817.045,951998.1246,587858.8838,726388.1304,726997.5994,750004.3249,819246.9342,1274899.542,1028800.669,1290952.017,2244758.859,1703791.752,2326506.656,783832.15,960825.6616,944485.9706,854742.3652,767587.9597,929759.334,1001211.112,812722.9077,1064007.8,771540.9167,858534.0708,1217402.221,2220477.155,2263893.801,1419732.226,1602032.145,869054.2676,742354.8882,840076.7382,919371.2324,673476.5137,822113.337,923161.2367,897429.6369,740971.8552,835217.7424,755343.5445,888735.2087,2958619.612,3170951.983,3066652.222,1229575.607,1150498.241,1291069.178,1310839.038,1414454.661,1400130.333,1699756.956,1749295.345,1666096.07,2702383.587,3017886.539,3060234.92,3449842.981,1456048.641,1726307.838,1533096.765,1392074.359,1588332.666,1374833.132,1552197.708,1485762.043,1655738.128,1781856.7,1576982.714,1532615.27,2926357.788,3237278.792,3080446.419,3266846.034,1639617.317,1660087.469,1506613.874,1500811.629,1425475.616,1481170.203,1622732.613,1649185.336,1751651.996,1754497.955,1717349.908,1895460.22
High,Master Protein,Q8R570,Synaptosomal-associated protein 47 OS=Mus musculus OX=10090 GN=Snap47 PE=1 SV=1,16,48,0,2706038.818,2863634.515,3195073.032,2417382.491,3351344.961,1842505.577,887671.8378,862617.0058,858042.8643,1069159.084,1673103.151,1376888.617,1417185.273,2530973.173,1713954.397,2149206.419,2275486.118,2327772.911,2617312.416,2591245.236,835790.7238,1098811.368,1092596.752,899848.9752,1351335.555,1061298.517,1270281.841,1836404.7,2579786.379,2329340.353,1472673.812,1489285.556,2581076.906,1921071.449,2382519.809,2724199.613,771472.9252,959244.0148,937459.6495,914904.9781,963924.1514,1167039.634,1029913.04,1034082.329,2796526.655,2863634.515,3254387.451,3922258.759,4050130.335,4046553.051,1601891.399,1678317.295,1601819.884,2218269.625,2295672.292,2229808.731,2966630.96,3402677.236,3078488.371,3186934.652,4226948.932,4182291.108,4248441.294,4220226.114,1729461.35,1624810.011,1693874.702,1645039.704,2102858.458,2451045.475,2333294.128,2311891.531,3399889.949,3330864.778,3195315.77,3036934.45,4869636.51,4295986.583,4272868.461,4447072.428,1632894.125,1728233.309,1647866.36,1681299.36,2278709.578,2451538.739,2341611.412,2205450.959
High,Master Protein,Q9DCD0,"6-phosphogluconate dehydrogenase, decarboxylating OS=Mus musculus OX=10090 GN=Pgd PE=1 SV=3",16,42,0,3176627.862,3447175.213,3224473.981,856325.6717,990000.0083,645542.4289,835512.9162,761462.3061,783527.407,739039.1232,1142654.068,909232.7413,1732540.241,2544279.059,1915735.406,2709110.827,871483.0263,833217.871,822208.8284,829469.5947,709349.1461,1173547.039,1063584.125,813467.2544,1240841.624,838533.1093,1067535.616,1548182.958,3003739.392,2815279.101,1926760.553,2203773.541,650083.8952,691584.4183,751028.8195,953248.123,707715.5429,858842.4268,760358.2825,775829.077,874169.6889,833786.3894,800796.8464,748477.7286,3282851.831,3447175.213,3284334.209,1389408.122,1196423.857,1417755.104,1507765.479,1481509.58,1462712.217,1533343.413,1567840.741,1472461.229,3626771.755,3420565.863,3440913.703,4017184.712,1618869.137,1497035.933,1334615.584,1350913.914,1467821.904,1735321.488,1648895.843,1487122.804,1930915.156,1936573.689,1960883.406,1949042.642,3958615.896,4025738.01,4180564.852,4493910.359,1226492.812,1546552.256,1346913.19,1556113.371,1497945.702,1547343.602,1336557.617,1425722.848,2066530.692,1751491.187,1820692.585,1596324.469
High,Master Protein,Q9CQS4,Solute carrier family 25 member 46 OS=Mus musculus OX=10090 GN=Slc25a46 PE=1 SV=1,16,60,0,7378477.078,8090828.932,7495779.13,6094301.234,14657784.41,4744178.431,3712249.156,3481835.46,3553428.494,2762327.718,4309763.927,3494116.231,3622830.149,6152720.334,4155114.781,4692723.452,5081234.76,5254827.491,7750240.647,6507507.92,2831617.535,3755080.548,3580278.791,3595867.848,2872115.163,2407512.239,2450637.212,4670605.91,5996664.519,5504949.616,3292706.008,3434846.814,5829042.18,4904227.508,5134859.344,5879110.347,2771499.031,3453936.022,3297113.694,3285195.827,2424025.86,2918479.047,2213465.902,2437559.656,7625207.622,8090828.932,7634933.314,9888144.093,17714063.45,10419273.6,6699119.809,6774298.015,6633645.773,5731221.634,5913446.295,5658562.926,7583765.009,8271806.923,7463134.701,6958569.846,9438914.91,9441306.832,12580249.19,10598439.11,5859329.309,5552629.547,5550578.163,6573709.082,4469394.476,5560096.322,4501408.452,5879931.721,7902979.716,7871860.699,7144308.09,7004301.21,10997470.3,10967054.66,9208980.534,9597251.758,5866135.206,6222824.627,5795665.707,6037127.104,5730379.24,6130695.339,5032538.494,5198733.343
High,Master Protein,Q9QYB5,Gamma-adducin OS=Mus musculus OX=10090 GN=Add3 PE=1 SV=2,16,46,0,3876316.362,3532718.324,3922989.165,1143169.515,1741741.541,878204.0344,1896563.329,1811079.532,1943686.116,2349710.606,3487643.385,3166013.053,2217673.427,3317643.272,2610623.514,2984288.803,1118089.921,1159641.737,1284790.193,1444045.424,1781900.182,2568232.441,2430398.063,2098800.788,3220818.997,2327100.974,2536208.89,3927581.344,3391203.71,2958342.771,2100941.748,2387139.974,1119523.545,980836.4748,1273889.376,1301659.209,1710743.379,2026477.611,2300685.324,2283577.56,2306261.464,2442541.734,2124122.042,2388298.784,4005937.371,3532718.324,3995816.866,1854818.863,2104910.218,1928731.864,3422535.621,3523656.594,3628530.927,4875132.001,4785411.035,5127214.694,4642313.728,4460287.986,4689024.484,4425230.315,2076966.746,2083519.102,2085481.15,2351841.549,3687199.923,3797639.798,3767894.961,3836877.879,5012024.176,5374388.282,4658589.234,4944521.242,4469253.54,4230313.412,4558492.345,4867829.138,2112169.815,2193390.745,2284623.916,2124871.008,3620947.31,3651027.323,4044144.143,4196476.773,5451985.075,5130918.874,4829406.195,5093671.652
High,Master Protein,P14231,Sodium/potassium-transporting ATPase subunit beta-2 OS=Mus musculus OX=10090 GN=Atp1b2 PE=1 SV=2,16,94,0,23628255.16,25847839.6,24703363.57,10755476.23,27706784.81,7404389.4,8577267.687,8354611.727,8800660.688,10713640.83,15294885.77,13507995.44,11456859.08,19975806.8,14615545.26,19299263.92,11895188.78,13573756.85,17871540.8,16346796.79,9609574.238,12731380.06,12667368.17,10313247.26,13548870.7,10427467.95,14925294.79,16837918.6,19777880.61,19946325.15,11576475.07,13945010.99,15576480.51,12691564.53,13138609.82,14392459.51,8161403.843,10308574.22,11473961.47,11290840.71,6853229.465,10754309.16,11636182.36,13143467.49,24418365.66,25847839.6,25161965.18,17451007.87,33483897.05,16261690.01,15478525.68,16254826.02,16429334.56,22228445.12,20986180.95,21875586.6,23982942.45,26855765.91,26251448.81,28617769.06,22096533.62,24387861.17,29009220.09,26623176.28,19884627.52,18825864.37,19638475.45,18853942.93,21083850.9,24082006.83,27415256.65,21197637.65,26065188.2,28522457.79,25117913.45,28436510.46,29387655.22,28381448.79,23563099.59,23494721,17274369.53,18572564.49,20168926.89,20748912.41,16200983.86,22591011.27,26456036.92,28031881.18
High,Master Protein,Q8R361,Rab11 family-interacting protein 5 OS=Mus musculus OX=10090 GN=Rab11fip5 PE=1 SV=2,16,28,0,512621.5567,622995.7929,605926.3968,202060.9684,229862.8151,172433.8401,184387.7891,166844.5831,176711.0342,136922.0329,222788.0209,177213.5444,325196.0207,482344.2524,333485.8057,418429.4074,214166.1192,231649.9059,235678.3867,268856.7926,173181.6983,238318.4065,235347.7521,263157.0637,237030.4844,176414.296,179570.1542,245263.1022,483185.33,498143.6742,295717.7467,376247.8088,228876.4323,201161.9823,220002.2428,269332.6386,208088.9225,197305.913,236212.134,230206.9292,180895.1388,189182.1239,156306.0922,179369.8441,529763.2235,622995.7929,617175.0198,327848.5743,277791.2663,378703.1588,332745.955,324614.6871,329889.4031,284083.0622,305688.4366,286989.306,680741.327,648470.6456,598984.5335,620464.9149,397835.5402,416203.5466,382554.9383,437873.0509,358356.5182,352400.9162,364864.3499,481084.9711,368851.0654,407424.9188,329840.1762,308767.2826,636787.976,712325.7949,641629.9194,767240.3238,431813.9566,449847.494,394557.3259,439667.3963,440439.5385,355478.5285,415213.6357,423045.8593,427634.7727,397404.9312,355377.7019,382553.0944
High,Master Protein,Q99KE1,"NAD-dependent malic enzyme, mitochondrial OS=Mus musculus OX=10090 GN=Me2 PE=1 SV=1",16,39,0,1591268.448,1870363.954,1836653.283,253356.9278,437981.4594,201039.6564,538477.3165,528300.9232,594643.4387,559165.9672,817961.1321,698785.2068,924997.4185,1264432.69,860213.8916,924908.807,225798.9761,186250.4099,200846.2035,230967.7002,370469.4167,610184.3082,517053.5334,471023.4019,632027.6223,446063.9663,574380.2123,1194548.268,1548624.088,1039514.957,801138.4412,792416.7308,152810.9995,152276.6114,203514.0436,221637.5781,400696.343,527338.4914,458332.9682,423501.2502,401597.1436,607613.8185,394725.7483,391971.0458,1644479.23,1870363.954,1870749.537,411077.4498,529304.5079,441527.9093,971735.4375,1027868.185,1110098.019,1160146.23,1122328.116,1131650.982,1936321.265,1699921.744,1545057.714,1371494.102,419444.7654,334634.6327,326015.0753,376165.0601,766594.4585,902278.227,801598.4842,861091.3821,983519.324,1030174.874,1055039.861,1503843.91,2040925.371,1486465.364,1738260.213,1615887.335,288303.7002,340527.8236,364986.9919,361808.4218,848111.0396,950085.6213,805657.588,778258.287,949372.683,1276382.371,897448.8926,835980.7482
High,Master Protein,Q8C437,PEX5-related protein OS=Mus musculus OX=10090 GN=Pex5l PE=1 SV=2,16,43,0,1694062.701,1855010.528,1789295.488,1042538.582,1264495.697,812392.4659,1028413.893,972010.8134,965451.2135,1012388.778,1492762.035,1339127.134,918544.8622,1402183.475,1061566.956,1502644.306,1150832.879,1286027.034,1296780.78,1223825.95,988535.1529,1336349.213,1371526.396,1033796.462,1588072.236,1073440.592,1241776.649,1530294.954,1520422.014,1401063.793,941677.3016,1062270.721,1133030.433,939691.375,1012641.557,1132611.463,880022.8673,1200457.312,1173861.635,1168457.877,1058436.847,1175804.577,1069861.077,1297043.67,1750710.843,1855010.528,1822512.575,1691542.857,1528154.351,1784194.986,1855874.321,1891155.11,1802332.978,2100483.745,2048225.443,2168655.72,1922813.96,1885115.908,1906714.4,2228184.862,2137790.151,2310594.562,2104944.362,1993181.564,2045528.014,1976056.713,2126304.935,1889912.944,2471252.327,2479087.33,2280934.884,1926523.029,2003757.972,2003465.931,2043192.665,2166170.574,2137652.835,2101380.218,1816095.78,1848911.946,1862650.164,2162818.095,2063413.716,2147247.559,2502136.894,2469950.795,2432437.314,2766284.778
High,Master Protein,P62631,Elongation factor 1-alpha 2 OS=Mus musculus OX=10090 GN=Eef1a2 PE=1 SV=1,16,149,0,20483118.01,18995350.94,19591920.7,9590858.983,11117672.4,6935044.46,9924143.455,9701270.814,9642996.585,4583021.568,7553267.692,6102124.704,10801293.93,14999607.33,11412494.63,15368858.71,9085713.224,9568831.216,9771586.616,10061024.83,8417895.046,12533798.53,11987922.76,9350752.27,5821448.713,4110326.263,4292584.892,7743726.413,15527401.27,14768713.45,9534220.071,11219149.86,8877450.473,7611515.543,8955373.766,10343432.51,8280230.256,10169636.48,9956042.102,10281595.66,3558746.617,3940575.652,3561944.381,3784433.827,21168057.57,18995350.94,19955631.76,15561389.56,13435806.46,15230903.87,17909095.87,18874901,18001832.21,9508760.379,10363872.27,9882114.486,22610630.8,20165690.79,20498347.02,22789597.11,16877644.52,17192243.07,15861313.24,16385866.98,17418743.37,18533700.98,18585117.57,17094378.25,9058951.066,9492707.687,7884756.592,9748752.829,20463498.81,21118677.38,20686755.94,22877964.92,16748806.22,17021214.21,16060783.2,16884957.06,17525876.67,18322245.67,17500728.56,18894246.52,8412850.734,8277759.885,8098440.637,8071294.694
High,Master Protein,Q8CBY8,Dynactin subunit 4 OS=Mus musculus OX=10090 GN=Dctn4 PE=1 SV=1,16,50,0,2271775.125,2343282.496,2328417.764,1188061.138,1322660.311,895250.6575,1242076.447,1212795.085,1230636.222,883277.7828,1373393.406,1135129.545,1434967.271,1978907.945,1420171.079,2084108.699,1168100.491,1217660.86,1210916.936,1277927.406,1206572.055,1680073.239,1655473.102,1396202.637,1318990.9,1025110.013,1126494.18,1521170.612,2049171.841,1939822.41,1316262.603,1563639.392,1061033.571,1023711.256,1272027.356,1317614.198,1217581.914,1452027.248,1494647.65,1442508.01,940783.846,1117628.225,944807.1545,931928.6087,2347741.522,2343282.496,2371643.3,1927656.555,1598446.806,1966170.049,2241449.478,2359627.682,2297388.222,1832606.864,1884439.215,1838290.868,3003854.482,2660472.694,2550814.747,3090404.984,2169866.511,2187761.6,1965569.522,2081293.788,2496701.237,2484320.692,2566513.22,2552438.06,2052525.859,2367468.924,2069180.374,1915036.188,2700595.213,2773869.492,2855944.486,3188555.96,2001818.623,2289269.264,2281284.525,2150916.453,2577125.249,2616062.04,2627291.301,2650863.042,2224006.067,2347742.793,2148114.579,1987581.44
High,Master Protein,P68369,Tubulin alpha-1A chain OS=Mus musculus OX=10090 GN=Tuba1a PE=1 SV=1,16,1655,45,269401985.9,248797279.8,267292690.4,190764948.3,196545384.7,136985118.5,149956556.6,136677417.3,144450187.9,156805317.5,223473304.5,196726074,132038397.5,185643354.7,139269261.1,195616670.2,199151210.4,187610358.1,184733906.3,180268293.7,136834474.3,207879012.9,197280095.1,160558742.4,180347794.5,130051625.2,156683059.5,208858886.2,197586089.8,215664544.1,123090592.2,138972218.7,150548824.3,131155062.4,165788260.4,197107926.4,138872166.1,159988120.9,154822649.1,154252546,131066350.6,127800292.1,128165113.8,129195138.9,278410579.2,248797279.8,272254802.5,309520521.6,237526853.9,300849862.4,270611399.4,265921111.8,269663897.8,325336498.6,306628717.3,318588963.6,276399427.5,249581632.7,250145979.1,290068715.2,369943806.5,337078040.9,299861472.7,293593578.2,283144964.3,307390250.2,305847296.1,293522039.1,280645235.6,300351355,287800432,262937189.3,260397902,308391786.9,267074288.2,283390594.2,284035725.4,293294863.6,297328662.9,321765417.2,293935842.5,288244487.6,272147217.7,283466275.9,309839885.4,268463347.7,291396342.8,275542415.8
High,Master Protein,Q923T9,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Mus musculus OX=10090 GN=Camk2g PE=1 SV=1,16,225,0,9947218.297,10492291.84,10248312.99,5730446.348,7307169.902,4199992.582,5079453.433,4522577.114,4557969.525,4639845.203,7175370.703,6200560.575,5026723.447,6843001.045,6121355.329,7184955.255,5495350.782,6408379.487,5836231.895,5952559.544,5055083.75,5463694.945,5937674.739,4489054.243,6345191.195,4571374.501,4910366.872,6500876.8,7363969.476,8134574.414,4438242.163,5211472.811,5011127.047,4454765.822,4715236.355,5534943.564,3842993.573,4432318.342,5009033.137,4776642.953,4210207.152,3748532.458,4702627.94,6021402.613,10279845.55,10492291.84,10438566.15,9297781.161,8830780.129,9224120.141,9166374.799,8799176.617,8508952.782,9626656.905,9845358.127,10041526.92,10522571.53,9199830.376,10994762.31,10654157.12,10208177.91,11513884.54,9473415.718,9694623.606,10460240.48,8079153.988,9205296.478,8206568.732,9873964.262,10557488.41,9019518.202,8184101.26,9704945.342,11632120.38,9629820.979,10627177.07,9454335.579,9961948.169,8456418.55,9035422.658,8134052.957,7985538.689,8804877.316,8777924.41,9952898.629,7874344.855,10691900.02,12842215.55
